City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Havelock,US,34.8791,-76.9013,67.01,94,100,4.0,overcast clouds
229,Orotukan,RU,62.2667,151.7,-19.05,95,5,2.51,clear sky
230,Nyurba,RU,63.2842,118.3319,-18.09,98,94,1.9,overcast clouds
231,Carnarvon,AU,-24.8667,113.6333,100.47,13,11,14.97,few clouds
232,Mantua,IT,45.1667,10.7833,45.82,90,100,1.01,overcast clouds
233,Northam,GB,51.0333,-4.2167,45.61,75,8,12.24,clear sky
234,Kerema,PG,-7.9631,145.7785,86.79,63,100,9.19,overcast clouds
235,Itarema,BR,-2.9248,-39.9167,79.05,80,65,10.27,broken clouds
236,Meulaboh,ID,4.1363,96.1285,77.88,82,99,3.67,overcast clouds
237,Tete,MZ,-16.1564,33.5867,72.27,98,100,2.15,light rain
238,Cabanas,CU,22.9758,-82.9219,73.87,85,0,4.88,clear sky
239,Beloha,MG,-25.1667,45.05,74.12,87,34,14.54,scattered clouds
240,Jalu,LY,29.0331,21.5482,49.69,74,0,7.67,clear sky
241,Konde,TZ,-4.95,39.75,78.1,84,98,3.74,overcast clouds
242,Capitao Poco,BR,-1.7464,-47.0594,72.93,96,100,2.3,overcast clouds
243,Waitati,NZ,-45.75,170.5667,59.09,54,99,5.95,overcast clouds
244,Gizo,SB,-8.103,156.8419,85.87,72,100,14.27,overcast clouds
245,Inirida,CO,3.8653,-67.9239,74.75,90,50,2.44,scattered clouds
246,Komsomolskiy,UZ,40.4272,71.7189,31.42,68,100,4.61,overcast clouds
247,Clyde River,CA,70.4692,-68.5914,-10.97,77,0,14.97,clear sky
248,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,74.86,85,13,1.68,few clouds
249,Dunedin,NZ,-45.8742,170.5036,57.11,57,100,6.53,overcast clouds
250,Limpapa,PH,7.1197,121.9106,80.65,68,99,3.85,overcast clouds
251,Kiunga,PG,-6.1219,141.2906,91.27,51,89,3.49,overcast clouds
252,Bulungu,CD,-4.55,18.6,68.52,97,100,1.61,overcast clouds
253,Nishihara,JP,26.1842,127.7558,62.26,55,75,18.41,broken clouds
